"","family_income","NAME","Total Population","state","county","Census.Tract","n","avg_calls","id","alt_boro","alt_ct"
"327",1658,"Census Tract 22, Kings County, New York",5181,"36","47","002200",2,0.00038602586373287,"36047002200","3","3002200"
"328",1559,"Census Tract 23, Kings County, New York",4043,"36","47","002300",6,0.00148404650012367,"36047002300","3","3002300"
"329",1238,"Census Tract 29.01, Kings County, New York",2795,"36","47","002901",12,0.00429338103756708,"36047002901","3","3002901"
"330",695,"Census Tract 30, Kings County, New York",1873,"36","47","003000",3,0.00160170848905499,"36047003000","3","3003000"
"331",1019,"Census Tract 31, Kings County, New York",2715,"36","47","003100",10,0.00368324125230203,"36047003100","3","3003100"
"332",1621,"Census Tract 33, Kings County, New York",2352,"36","47","003300",16,0.00680272108843537,"36047003300","3","3003300"
"333",1360,"Census Tract 34, Kings County, New York",3065,"36","47","003400",28,0.00913539967373573,"36047003400","3","3003400"
"334",778,"Census Tract 35, Kings County, New York",1437,"36","47","003500",3,0.00208768267223382,"36047003500","3","3003500"
"335",1805,"Census Tract 36, Kings County, New York",4201,"36","47","003600",5,0.00119019281123542,"36047003600","3","3003600"
"336",547,"Census Tract 37, Kings County, New York",220,"36","47","003700",11,0.05,"36047003700","3","3003700"
"337",667,"Census Tract 38, Kings County, New York",1515,"36","47","003800",8,0.00528052805280528,"36047003800","3","3003800"
"338",1160,"Census Tract 39, Kings County, New York",2134,"36","47","003900",20,0.00937207122774133,"36047003900","3","3003900"
"339",1477,"Census Tract 41, Kings County, New York",4062,"36","47","004100",12,0.00295420974889217,"36047004100","3","3004100"
"340",1569,"Census Tract 43, Kings County, New York",3329,"36","47","004300",27,0.00811054370681887,"36047004300","3","3004300"
"341",975,"Census Tract 44, Kings County, New York",2426,"36","47","004400",10,0.00412201154163232,"36047004400","3","3004400"
"342",1654,"Census Tract 45, Kings County, New York",3609,"36","47","004500",14,0.00387919091160986,"36047004500","3","3004500"
"343",787,"Census Tract 47, Kings County, New York",1185,"36","47","004700",11,0.00928270042194093,"36047004700","3","3004700"
"344",981,"Census Tract 49, Kings County, New York",2883,"36","47","004900",18,0.00624349635796046,"36047004900","3","3004900"
"345",1084,"Census Tract 50, Kings County, New York",2483,"36","47","005000",15,0.00604107933950866,"36047005000","3","3005000"
"346",989,"Census Tract 51, Kings County, New York",2304,"36","47","005100",9,0.00390625,"36047005100","3","3005100"
"347",1045,"Census Tract 52.01, Kings County, New York",1856,"36","47","005201",1,0.000538793103448276,"36047005201","3","3005201"
"348",1453,"Census Tract 52.02, Kings County, New York",2486,"36","47","005202",7,0.00281576830249397,"36047005202","3","3005202"
