"","Total Population","NAME","state","county","Census.Tract","n","avg_calls","id","alt_boro","alt_ct"
"51",2942,"Census Tract 159, Bronx County, New York","36","05","015900",1,0.000339904826648538,"36005015900","2","2015900"
"52",4253,"Census Tract 161, Bronx County, New York","36","05","016100",1,0.000235128144838937,"36005016100","2","2016100"
"53",1605,"Census Tract 162, Bronx County, New York","36","05","016200",2,0.00124610591900312,"36005016200","2","2016200"
"54",2416,"Census Tract 166, Bronx County, New York","36","05","016600",2,0.000827814569536424,"36005016600","2","2016600"
"55",2174,"Census Tract 169, Bronx County, New York","36","05","016900",3,0.00137994480220791,"36005016900","2","2016900"
"56",5244,"Census Tract 179.01, Bronx County, New York","36","05","017901",1,0.0001906941266209,"36005017901","2","2017901"
"57",3088,"Census Tract 181.01, Bronx County, New York","36","05","018101",1,0.000323834196891192,"36005018101","2","2018101"
"58",5364,"Census Tract 181.02, Bronx County, New York","36","05","018102",3,0.000559284116331096,"36005018102","2","2018102"
"59",3828,"Census Tract 184, Bronx County, New York","36","05","018400",2,0.000522466039707419,"36005018400","2","2018400"
"60",6033,"Census Tract 185, Bronx County, New York","36","05","018500",3,0.000497265042267529,"36005018500","2","2018500"
"61",8051,"Census Tract 189, Bronx County, New York","36","05","018900",2,0.000248416345795553,"36005018900","2","2018900"
"62",5311,"Census Tract 193, Bronx County, New York","36","05","019300",6,0.00112973074750518,"36005019300","2","2019300"
"63",1842,"Census Tract 194, Bronx County, New York","36","05","019400",2,0.001085776330076,"36005019400","2","2019400"
"64",7958,"Census Tract 199, Bronx County, New York","36","05","019900",6,0.000753958280975119,"36005019900","2","2019900"
"65",4836,"Census Tract 200, Bronx County, New York","36","05","020000",2,0.000413564929693962,"36005020000","2","2020000"
"66",2916,"Census Tract 204, Bronx County, New York","36","05","020400",4,0.00137174211248285,"36005020400","2","2020400"
"67",6995,"Census Tract 205.01, Bronx County, New York","36","05","020501",2,0.000285918513223731,"36005020501","2","2020501"
"68",4199,"Census Tract 209, Bronx County, New York","36","05","020900",2,0.000476303881876637,"36005020900","2","2020900"
"69",4700,"Census Tract 211, Bronx County, New York","36","05","021100",2,0.000425531914893617,"36005021100","2","2021100"
"70",5104,"Census Tract 213.02, Bronx County, New York","36","05","021302",1,0.000195924764890282,"36005021302","2","2021302"
"71",5663,"Census Tract 217, Bronx County, New York","36","05","021700",1,0.000176584849019954,"36005021700","2","2021700"
"72",6158,"Census Tract 218, Bronx County, New York","36","05","021800",2,0.00032478077297824,"36005021800","2","2021800"
"73",1346,"Census Tract 219, Bronx County, New York","36","05","021900",1,0.000742942050520059,"36005021900","2","2021900"
"74",1081,"Census Tract 220, Bronx County, New York","36","05","022000",4,0.00370027752081406,"36005022000","2","2022000"
"75",5854,"Census Tract 221.02, Bronx County, New York","36","05","022102",1,0.00017082336863683,"36005022102","2","2022102"
"76",2894,"Census Tract 222, Bronx County, New York","36","05","022200",2,0.000691085003455425,"36005022200","2","2022200"
"77",4360,"Census Tract 224.04, Bronx County, New York","36","05","022404",1,0.000229357798165138,"36005022404","2","2022404"
"78",8574,"Census Tract 225, Bronx County, New York","36","05","022500",2,0.000233263354327035,"36005022500","2","2022500"
"79",5293,"Census Tract 227.01, Bronx County, New York","36","05","022701",1,0.000188928773852258,"36005022701","2","2022701"
"80",6204,"Census Tract 228, Bronx County, New York","36","05","022800",2,0.000322372662798195,"36005022800","2","2022800"
"81",3222,"Census Tract 229.02, Bronx County, New York","36","05","022902",1,0.000310366232153942,"36005022902","2","2022902"
"82",2979,"Census Tract 230, Bronx County, New York","36","05","023000",1,0.000335683115139308,"36005023000","2","2023000"
"83",1227,"Census Tract 231, Bronx County, New York","36","05","023100",5,0.00407497962510187,"36005023100","2","2023100"
"84",3590,"Census Tract 235.01, Bronx County, New York","36","05","023501",1,0.000278551532033426,"36005023501","2","2023501"
"85",4682,"Census Tract 235.02, Bronx County, New York","36","05","023502",1,0.000213583938487826,"36005023502","2","2023502"
"86",5717,"Census Tract 237.03, Bronx County, New York","36","05","023703",3,0.000524750743396887,"36005023703","2","2023703"
"87",3865,"Census Tract 237.04, Bronx County, New York","36","05","023704",1,0.000258732212160414,"36005023704","2","2023704"
"88",7639,"Census Tract 239, Bronx County, New York","36","05","023900",3,0.000392721560413667,"36005023900","2","2023900"
"89",5818,"Census Tract 241, Bronx County, New York","36","05","024100",3,0.000515641113784806,"36005024100","2","2024100"
