"","census","complaint.category","n","top"
"194","36005011800","noise",1,"no"
"195","36005011800","other",7,"no"
"196","36005011800","parking",4,"no"
"197","36005011900","household",5,"no"
"198","36005011900","other",3,"no"
"199","36005011900","parking",1,"no"
"200","36005012101","household",13,"no"
"201","36005012101","noise",9,"no"
"202","36005012101","other",8,"no"
"203","36005012101","parking",3,"no"
"204","36005012102","household",1,"no"
"205","36005012102","noise",1,"no"
"206","36005012102","other",4,"no"
"207","36005012300","household",1,"no"
"208","36005012300","noise",3,"no"
"209","36005012300","other",3,"no"
"210","36005012500","household",3,"no"
"211","36005012500","other",4,"no"
"212","36005012701","noise",3,"no"
"213","36005012701","other",1,"no"
"214","36005012901","household",9,"no"
"215","36005012901","noise",4,"no"
"216","36005013000","other",4,"no"
"217","36005013000","parking",2,"no"
"218","36005013100","noise",14,"no"
"219","36005013100","parking",2,"no"
"220","36005013200","collection",4,"no"
"221","36005013200","noise",2,"no"
"222","36005013200","other",4,"no"
"223","36005013200","parking",3,"no"
"224","36005013300","household",1,"no"
"225","36005013300","other",1,"no"
"226","36005013500","collection",3,"no"
"227","36005013500","household",12,"no"
"228","36005013500","other",7,"no"
"229","36005013500","parking",4,"no"
"230","36005013800","collection",2,"no"
"231","36005013800","other",3,"no"
"232","36005013800","parking",1,"no"
"233","36005014100","household",11,"no"
"234","36005014100","noise",4,"no"
"235","36005014100","other",11,"no"
"236","36005014100","parking",1,"no"
"237","36005014300","household",2,"no"
"238","36005014300","other",1,"no"
"239","36005014300","parking",1,"no"
"240","36005014400","noise",3,"no"
"241","36005014400","other",6,"no"
"242","36005014400","parking",2,"no"
"243","36005014500","collection",1,"no"
"244","36005014500","household",5,"no"
"245","36005014500","noise",4,"no"
"246","36005014500","other",3,"no"
"247","36005014500","parking",1,"no"
"248","36005014701","noise",3,"no"
"249","36005014701","other",1,"no"
"250","36005014702","household",2,"no"
"251","36005014702","noise",8,"no"
"252","36005014702","other",4,"no"
"253","36005014900","household",8,"no"
"254","36005014900","noise",5,"no"
"255","36005014900","other",10,"no"
"256","36005014900","parking",4,"no"
"257","36005015100","household",2,"no"
"258","36005015100","noise",3,"no"
"259","36005015100","other",3,"no"
"260","36005015100","parking",2,"no"
"261","36005015200","collection",2,"no"
"262","36005015200","noise",4,"no"
"263","36005015200","other",6,"no"
"264","36005015300","noise",15,"no"
"265","36005015300","other",14,"no"
"266","36005015500","other",5,"no"
"267","36005015700","household",8,"no"
"268","36005015700","noise",4,"no"
"269","36005015700","other",11,"no"
"270","36005015700","parking",2,"no"
"271","36005015800","other",3,"no"
"272","36005015800","parking",2,"no"
"273","36005015900","other",1,"no"
"274","36005015900","parking",1,"no"
"275","36005016000","collection",5,"no"
"276","36005016000","noise",4,"no"
"277","36005016000","other",2,"no"
"278","36005016000","parking",3,"no"
"279","36005016100","collection",1,"no"
"280","36005016100","noise",2,"no"
"281","36005016100","other",6,"no"
"282","36005016200","collection",1,"no"
"283","36005016200","other",4,"no"
"284","36005016200","parking",1,"no"
"285","36005016400","collection",2,"no"
"286","36005016400","other",2,"no"
"287","36005016500","household",3,"no"
"288","36005016500","other",1,"no"
"289","36005016500","parking",2,"no"
"290","36005016600","other",3,"no"
"291","36005016600","parking",1,"no"
"292","36005016700","household",4,"no"
"293","36005016700","noise",1,"no"
"294","36005016700","other",3,"no"
"295","36005016700","parking",1,"no"
"296","36005016900","noise",2,"no"
"297","36005017300","collection",1,"no"
"298","36005017300","household",5,"no"
"299","36005017300","noise",1,"no"
"300","36005017300","other",10,"no"
"301","36005017500","household",2,"no"
"302","36005017500","noise",3,"no"
"303","36005017500","other",2,"no"
"304","36005017701","household",3,"no"
"305","36005017701","noise",3,"no"
"306","36005017701","other",6,"no"
"307","36005017701","parking",1,"no"
"308","36005017702","household",6,"no"
"309","36005017702","noise",2,"no"
"310","36005017702","other",6,"no"
"311","36005017702","parking",2,"no"
"312","36005017901","household",12,"no"
"313","36005017901","noise",5,"no"
"314","36005017901","other",8,"no"
