"","census","complaint.category","n","top"
"1636","36047025800","parking",6,"no"
"1637","36047025901","noise",1,"no"
"1638","36047025901","other",5,"no"
"1639","36047026000","collection",2,"no"
"1640","36047026000","other",1,"no"
"1641","36047026100","household",5,"no"
"1642","36047026100","noise",4,"no"
"1643","36047026100","other",22,"no"
"1644","36047026100","parking",2,"no"
"1645","36047026200","collection",1,"no"
"1646","36047026200","noise",1,"no"
"1647","36047026200","other",2,"no"
"1648","36047026200","parking",2,"no"
"1649","36047026300","household",1,"no"
"1650","36047026300","other",3,"no"
"1651","36047026400","noise",3,"no"
"1652","36047026400","parking",2,"no"
"1653","36047026500","household",3,"no"
"1654","36047026500","other",11,"no"
"1655","36047026500","parking",3,"no"
"1656","36047026600","collection",1,"no"
"1657","36047026600","other",3,"no"
"1658","36047026600","parking",3,"no"
"1659","36047026700","collection",1,"no"
"1660","36047026700","noise",5,"no"
"1661","36047026700","other",5,"no"
"1662","36047026700","parking",1,"no"
"1663","36047026800","noise",1,"no"
"1664","36047026800","other",2,"no"
"1665","36047026800","parking",1,"no"
"1666","36047026900","collection",2,"no"
"1667","36047026900","household",3,"no"
"1668","36047026900","other",7,"no"
"1669","36047027000","collection",3,"no"
"1670","36047027000","other",6,"no"
"1671","36047027000","parking",4,"no"
"1672","36047027100","noise",1,"no"
"1673","36047027100","other",6,"no"
"1674","36047027200","household",5,"no"
"1675","36047027200","noise",1,"no"
"1676","36047027200","other",1,"no"
"1677","36047027200","parking",5,"no"
"1678","36047027300","collection",1,"no"
"1679","36047027300","other",5,"no"
"1680","36047027300","parking",2,"no"
"1681","36047027400","collection",3,"no"
"1682","36047027400","other",1,"no"
"1683","36047027400","parking",1,"no"
"1684","36047027500","collection",2,"no"
"1685","36047027500","household",3,"no"
"1686","36047027500","noise",7,"no"
"1687","36047027500","other",4,"no"
"1688","36047027500","parking",1,"no"
"1689","36047027600","household",1,"no"
"1690","36047027600","other",3,"no"
"1691","36047027600","parking",3,"no"
"1692","36047027700","noise",3,"no"
"1693","36047027700","other",5,"no"
"1694","36047027700","parking",1,"no"
"1695","36047027800","collection",1,"no"
"1696","36047027800","noise",1,"no"
"1697","36047027800","other",3,"no"
"1698","36047027800","parking",1,"no"
"1699","36047027900","household",3,"no"
"1700","36047027900","noise",1,"no"
"1701","36047027900","other",5,"no"
"1702","36047027900","parking",1,"no"
"1703","36047028000","noise",1,"no"
"1704","36047028000","other",1,"no"
"1705","36047028000","parking",9,"no"
"1706","36047028100","household",15,"no"
"1707","36047028100","noise",2,"no"
"1708","36047028100","other",40,"yes"
"1709","36047028100","parking",2,"no"
"1710","36047028200","household",3,"no"
"1711","36047028200","other",3,"no"
"1712","36047028200","parking",1,"no"
"1713","36047028300","household",4,"no"
"1714","36047028300","noise",1,"no"
"1715","36047028300","other",7,"no"
"1716","36047028300","parking",2,"no"
"1717","36047028400","household",5,"no"
"1718","36047028400","other",10,"no"
"1719","36047028400","parking",6,"no"
"1720","36047028501","noise",2,"no"
"1721","36047028502","noise",2,"no"
"1722","36047028502","other",1,"no"
"1723","36047028600","household",6,"no"
"1724","36047028600","noise",2,"no"
"1725","36047028600","other",2,"no"
"1726","36047028700","collection",2,"no"
"1727","36047028700","household",9,"no"
"1728","36047028700","noise",6,"no"
"1729","36047028700","other",11,"no"
"1730","36047028800","household",1,"no"
"1731","36047028800","other",3,"no"
"1732","36047028800","parking",2,"no"
"1733","36047028900","household",4,"no"
"1734","36047028900","noise",1,"no"
"1735","36047028900","other",5,"no"
"1736","36047028900","parking",1,"no"
"1737","36047029000","noise",1,"no"
"1738","36047029000","other",1,"no"
"1739","36047029000","parking",1,"no"
"1740","36047029100","household",2,"no"
"1741","36047029100","other",4,"no"
"1742","36047029100","parking",1,"no"
"1743","36047029200","collection",1,"no"
"1744","36047029200","household",4,"no"
"1745","36047029200","other",1,"no"
"1746","36047029200","parking",1,"no"
"1747","36047029300","collection",3,"no"
"1748","36047029300","noise",1,"no"
"1749","36047029300","other",7,"no"
"1750","36047029300","parking",1,"no"
"1751","36047029500","collection",2,"no"
"1752","36047029500","household",1,"no"
"1753","36047029500","noise",7,"no"
"1754","36047029500","other",3,"no"
"1755","36047029500","parking",1,"no"
"1756","36047029600","collection",1,"no"
"1757","36047029600","parking",2,"no"
"1758","36047029700","collection",2,"no"
"1759","36047029700","household",1,"no"
"1760","36047029700","noise",1,"no"
"1761","36047029700","other",9,"no"
"1762","36047029800","other",2,"no"
"1763","36047029800","parking",2,"no"
"1764","36047029900","household",3,"no"
"1765","36047029900","noise",3,"no"
"1766","36047029900","other",5,"no"
"1767","36047030000","collection",1,"no"
"1768","36047030000","other",4,"no"
"1769","36047030000","parking",2,"no"
"1770","36047030100","other",13,"no"
"1771","36047030100","parking",2,"no"
"1772","36047030200","collection",3,"no"
"1773","36047030200","noise",1,"no"
"1774","36047030200","other",2,"no"
"1775","36047030200","parking",1,"no"
"1776","36047030300","household",1,"no"
"1777","36047030300","noise",1,"no"
"1778","36047030300","other",2,"no"
"1779","36047030400","other",4,"no"
"1780","36047030500","collection",2,"no"
"1781","36047030500","household",6,"no"
"1782","36047030500","noise",14,"no"
"1783","36047030500","other",13,"no"
"1784","36047030500","parking",7,"no"
"1785","36047030600","other",2,"no"
"1786","36047030600","parking",2,"no"
"1787","36047030700","collection",1,"no"
"1788","36047030700","noise",1,"no"
"1789","36047030700","other",9,"no"
"1790","36047030800","other",2,"no"
"1791","36047030800","parking",3,"no"
"1792","36047030900","other",8,"no"
"1793","36047030900","parking",2,"no"
"1794","36047031100","collection",1,"no"
"1795","36047031100","noise",2,"no"
"1796","36047031100","other",3,"no"
"1797","36047031100","parking",2,"no"
"1798","36047031300","noise",7,"no"
"1799","36047031300","other",4,"no"
"1800","36047031300","parking",1,"no"
"1801","36047031400","noise",1,"no"
"1802","36047031400","other",10,"no"
"1803","36047031400","parking",2,"no"
"1804","36047031500","household",6,"no"
"1805","36047031500","noise",13,"no"
"1806","36047031500","other",6,"no"
"1807","36047031500","parking",4,"no"
"1808","36047031701","collection",2,"no"
"1809","36047031701","household",5,"no"
"1810","36047031701","noise",4,"no"
"1811","36047031701","other",3,"no"
"1812","36047031702","collection",1,"no"
"1813","36047031702","household",1,"no"
"1814","36047031702","noise",16,"no"
"1815","36047031702","other",3,"no"
"1816","36047031900","household",5,"no"
"1817","36047031900","other",5,"no"
"1818","36047031900","parking",3,"no"
"1819","36047032100","household",4,"no"
"1820","36047032100","noise",10,"no"
"1821","36047032100","other",10,"no"
"1822","36047032100","parking",1,"no"
"1823","36047032300","household",2,"no"
"1824","36047032300","noise",6,"no"
"1825","36047032300","other",23,"no"
"1826","36047032500","collection",1,"no"
"1827","36047032500","household",4,"no"
"1828","36047032500","noise",10,"no"
"1829","36047032500","other",14,"no"
"1830","36047032600","noise",5,"no"
"1831","36047032600","other",2,"no"
"1832","36047032600","parking",2,"no"
"1833","36047032700","collection",1,"no"
"1834","36047032700","household",5,"no"
"1835","36047032700","noise",9,"no"
"1836","36047032700","other",11,"no"
"1837","36047032700","parking",2,"no"
"1838","36047032800","collection",1,"no"
"1839","36047032800","noise",3,"no"
"1840","36047032800","other",4,"no"
"1841","36047032800","parking",1,"no"
"1842","36047032900","collection",1,"no"
"1843","36047032900","household",4,"no"
"1844","36047032900","noise",2,"no"
"1845","36047032900","other",17,"no"
"1846","36047033000","noise",5,"no"
"1847","36047033000","other",3,"no"
"1848","36047033100","collection",1,"no"
"1849","36047033100","household",10,"no"
"1850","36047033100","noise",1,"no"
"1851","36047033100","other",13,"no"
"1852","36047033100","parking",1,"no"
"1853","36047033300","household",2,"no"
"1854","36047033300","other",1,"no"
"1855","36047033300","parking",1,"no"
"1856","36047033500","collection",2,"no"
"1857","36047033500","household",7,"no"
"1858","36047033500","other",3,"no"
"1859","36047033500","parking",2,"no"
"1860","36047033600","collection",2,"no"
"1861","36047033600","household",5,"no"
"1862","36047033600","noise",1,"no"
"1863","36047033600","other",3,"no"
"1864","36047033700","collection",1,"no"
"1865","36047033700","household",1,"no"
"1866","36047033700","other",9,"no"
"1867","36047033700","parking",1,"no"
"1868","36047033900","collection",1,"no"
"1869","36047033900","noise",1,"no"
"1870","36047033900","other",4,"no"
"1871","36047033900","parking",1,"no"
"1872","36047034100","household",3,"no"
"1873","36047034100","noise",1,"no"
"1874","36047034100","other",17,"no"
"1875","36047034200","household",7,"no"
"1876","36047034200","noise",1,"no"
"1877","36047034200","other",9,"no"
"1878","36047034300","household",4,"no"
"1879","36047034300","noise",1,"no"
"1880","36047034300","other",5,"no"
"1881","36047034300","parking",1,"no"
"1882","36047034500","noise",2,"no"
"1883","36047034500","other",7,"no"
"1884","36047034700","collection",1,"no"
"1885","36047034700","household",5,"no"
"1886","36047034700","noise",3,"no"
"1887","36047034700","other",10,"no"
"1888","36047034800","collection",2,"no"
"1889","36047034800","noise",1,"no"
"1890","36047034800","other",6,"no"
"1891","36047034800","parking",2,"no"
"1892","36047034900","collection",1,"no"
"1893","36047034900","household",14,"no"
"1894","36047034900","noise",6,"no"
"1895","36047034900","other",16,"no"
"1896","36047034900","parking",4,"no"
"1897","36047035100","collection",2,"no"
"1898","36047035100","household",16,"no"
"1899","36047035100","noise",9,"no"
"1900","36047035100","other",11,"no"
"1901","36047035100","parking",2,"no"
"1902","36047035300","collection",1,"no"
"1903","36047035300","household",25,"no"
"1904","36047035300","noise",9,"no"
"1905","36047035300","other",14,"no"
"1906","36047035400","noise",1,"no"
"1907","36047035400","other",3,"no"
"1908","36047035500","household",6,"no"
"1909","36047035500","noise",3,"no"
"1910","36047035500","other",5,"no"
"1911","36047035500","parking",2,"no"
"1912","36047035601","noise",1,"no"
"1913","36047035601","other",1,"no"
"1914","36047035602","household",5,"no"
"1915","36047035602","other",2,"no"
"1916","36047035700","noise",5,"no"
"1917","36047035700","other",1,"no"
"1918","36047035900","collection",1,"no"
"1919","36047035900","household",1,"no"
"1920","36047035900","noise",6,"no"
"1921","36047035900","other",5,"no"
"1922","36047035900","parking",2,"no"
"1923","36047036001","household",3,"no"
"1924","36047036001","other",9,"no"
"1925","36047036002","noise",3,"no"
"1926","36047036002","other",2,"no"
"1927","36047036100","other",2,"no"
"1928","36047036100","parking",1,"no"
"1929","36047036200","noise",1,"no"
"1930","36047036200","other",4,"no"
"1931","36047036200","parking",4,"no"
"1932","36047036300","collection",2,"no"
"1933","36047036300","other",6,"no"
"1934","36047036300","parking",1,"no"
"1935","36047036400","noise",2,"no"
"1936","36047036400","other",2,"no"
"1937","36047036400","parking",1,"no"
"1938","36047036501","noise",4,"no"
"1939","36047036501","other",1,"no"
"1940","36047036501","parking",4,"no"
"1941","36047036502","noise",1,"no"
"1942","36047036502","other",1,"no"
"1943","36047036502","parking",2,"no"
"1944","36047036600","other",2,"no"
"1945","36047036700","noise",1,"no"
"1946","36047036700","other",4,"no"
"1947","36047036900","collection",1,"no"
"1948","36047036900","household",3,"no"
"1949","36047036900","noise",1,"no"
"1950","36047036900","other",6,"no"
"1951","36047036900","parking",1,"no"
"1952","36047037000","noise",2,"no"
"1953","36047037000","other",3,"no"
"1954","36047037000","parking",5,"no"
"1955","36047037100","collection",1,"no"
"1956","36047037100","noise",2,"no"
"1957","36047037100","other",6,"no"
"1958","36047037100","parking",1,"no"
"1959","36047037300","collection",3,"no"
"1960","36047037300","other",6,"no"
"1961","36047037401","collection",1,"no"
"1962","36047037401","other",2,"no"
"1963","36047037401","parking",1,"no"
"1964","36047037402","noise",1,"no"
"1965","36047037402","other",4,"no"
"1966","36047037402","parking",10,"no"
"1967","36047037500","collection",2,"no"
"1968","36047037500","noise",5,"no"
"1969","36047037500","other",5,"no"
"1970","36047037700","collection",2,"no"
"1971","36047037700","household",1,"no"
"1972","36047037700","noise",4,"no"
"1973","36047037700","other",7,"no"
"1974","36047037700","parking",2,"no"
"1975","36047037900","household",1,"no"
"1976","36047037900","other",10,"no"
"1977","36047037900","parking",5,"no"
"1978","36047038100","collection",1,"no"
"1979","36047038100","noise",12,"no"
"1980","36047038100","other",5,"no"
"1981","36047038100","parking",2,"no"
"1982","36047038200","noise",2,"no"
"1983","36047038200","other",4,"no"
"1984","36047038300","collection",1,"no"
"1985","36047038300","household",1,"no"
"1986","36047038300","noise",5,"no"
"1987","36047038300","other",5,"no"
"1988","36047038300","parking",1,"no"
"1989","36047038500","collection",1,"no"
"1990","36047038500","noise",2,"no"
"1991","36047038500","other",6,"no"
"1992","36047038500","parking",4,"no"
"1993","36047038600","collection",1,"no"
"1994","36047038600","noise",1,"no"
"1995","36047038600","other",10,"no"
"1996","36047038700","collection",2,"no"
"1997","36047038700","other",1,"no"
"1998","36047038800","collection",1,"no"
"1999","36047038800","household",2,"no"
"2000","36047038800","noise",1,"no"
"2001","36047038800","other",7,"no"
"2002","36047038800","parking",1,"no"
"2003","36047038900","collection",1,"no"
"2004","36047038900","household",5,"no"
"2005","36047038900","noise",2,"no"
"2006","36047038900","other",10,"no"
"2007","36047038900","parking",1,"no"
"2008","36047039000","noise",1,"no"
"2009","36047039000","parking",1,"no"
"2010","36047039100","household",1,"no"
"2011","36047039100","noise",3,"no"
"2012","36047039100","other",6,"no"
"2013","36047039200","noise",1,"no"
"2014","36047039200","other",5,"no"
"2015","36047039200","parking",2,"no"
"2016","36047039300","collection",3,"no"
"2017","36047039300","noise",5,"no"
"2018","36047039300","other",4,"no"
"2019","36047039300","parking",1,"no"
"2020","36047039400","collection",1,"no"
"2021","36047039400","other",4,"no"
"2022","36047039500","collection",1,"no"
"2023","36047039500","household",3,"no"
"2024","36047039500","noise",4,"no"
"2025","36047039500","other",7,"no"
"2026","36047039500","parking",3,"no"
"2027","36047039600","collection",1,"no"
"2028","36047039600","other",1,"no"
"2029","36047039700","other",3,"no"
"2030","36047039800","noise",1,"no"
"2031","36047039800","other",4,"no"
"2032","36047039800","parking",3,"no"
"2033","36047039900","household",1,"no"
"2034","36047039900","noise",4,"no"
"2035","36047039900","other",2,"no"
"2036","36047039900","parking",1,"no"
"2037","36047040000","collection",2,"no"
"2038","36047040000","noise",1,"no"
"2039","36047040000","other",5,"no"
"2040","36047040000","parking",2,"no"
"2041","36047040100","noise",6,"no"
"2042","36047040100","other",1,"no"
"2043","36047040100","parking",4,"no"
"2044","36047040200","parking",1,"no"
"2045","36047040300","household",1,"no"
"2046","36047040300","noise",1,"no"
"2047","36047040300","other",9,"no"
"2048","36047040300","parking",2,"no"
"2049","36047040400","other",5,"no"
"2050","36047040500","other",3,"no"
"2051","36047040500","parking",1,"no"
"2052","36047040600","other",3,"no"
"2053","36047040600","parking",1,"no"
"2054","36047040800","other",1,"no"
"2055","36047040800","parking",1,"no"
"2056","36047040900","household",1,"no"
"2057","36047040900","noise",2,"no"
"2058","36047040900","other",4,"no"
"2059","36047040900","parking",2,"no"
"2060","36047041000","collection",1,"no"
"2061","36047041000","other",6,"no"
"2062","36047041000","parking",3,"no"
"2063","36047041100","collection",1,"no"
"2064","36047041100","noise",1,"no"
"2065","36047041100","other",3,"no"
"2066","36047041100","parking",1,"no"
"2067","36047041200","noise",1,"no"
"2068","36047041200","other",3,"no"
"2069","36047041200","parking",8,"no"
"2070","36047041300","household",7,"no"
"2071","36047041300","noise",2,"no"
"2072","36047041300","other",3,"no"
"2073","36047041300","parking",1,"no"
"2074","36047041401","other",4,"no"
"2075","36047041402","parking",1,"no"
"2076","36047041500","collection",2,"no"
"2077","36047041500","noise",1,"no"
"2078","36047041500","other",3,"no"
"2079","36047041500","parking",2,"no"
"2080","36047041600","other",1,"no"
"2081","36047041600","parking",2,"no"
"2082","36047041700","noise",3,"no"
"2083","36047041700","other",2,"no"
"2084","36047041700","parking",2,"no"
"2085","36047041800","other",4,"no"
"2086","36047041900","collection",1,"no"
"2087","36047041900","noise",3,"no"
"2088","36047041900","other",5,"no"
"2089","36047041900","parking",1,"no"
"2090","36047042000","collection",1,"no"
"2091","36047042000","other",3,"no"
"2092","36047042100","household",1,"no"
"2093","36047042100","noise",4,"no"
"2094","36047042100","other",15,"no"
"2095","36047042100","parking",4,"no"
"2096","36047042200","collection",1,"no"
"2097","36047042200","household",5,"no"
"2098","36047042200","noise",3,"no"
"2099","36047042200","other",2,"no"
"2100","36047042300","household",3,"no"
"2101","36047042300","noise",15,"no"
"2102","36047042300","other",6,"no"
"2103","36047042300","parking",1,"no"
"2104","36047042400","collection",3,"no"
"2105","36047042400","other",4,"no"
"2106","36047042400","parking",2,"no"
"2107","36047042500","collection",1,"no"
"2108","36047042500","household",12,"no"
"2109","36047042500","noise",6,"no"
"2110","36047042500","other",12,"no"
"2111","36047042500","parking",1,"no"
"2112","36047042600","collection",1,"no"
"2113","36047042600","household",1,"no"
"2114","36047042600","noise",1,"no"
"2115","36047042600","other",2,"no"
"2116","36047042600","parking",4,"no"
"2117","36047042700","collection",1,"no"
"2118","36047042700","household",5,"no"
"2119","36047042700","noise",17,"no"
"2120","36047042700","other",29,"no"
"2121","36047042700","parking",1,"no"
"2122","36047042800","noise",1,"no"
"2123","36047042800","other",30,"no"
"2124","36047042800","parking",5,"no"
"2125","36047042900","collection",1,"no"
"2126","36047042900","household",2,"no"
"2127","36047042900","noise",12,"no"
"2128","36047042900","other",17,"no"
"2129","36047042900","parking",1,"no"
"2130","36047043000","household",2,"no"
"2131","36047043000","other",4,"no"
"2132","36047043000","parking",3,"no"
"2133","36047043100","household",1,"no"
"2134","36047043100","noise",6,"no"
"2135","36047043100","other",12,"no"
"2136","36047043100","parking",4,"no"
"2137","36047043200","noise",2,"no"
"2138","36047043200","other",3,"no"
"2139","36047043200","parking",4,"no"
"2140","36047043300","noise",2,"no"
"2141","36047043300","other",9,"no"
"2142","36047043300","parking",2,"no"
"2143","36047043400","household",1,"no"
"2144","36047043400","noise",3,"no"
"2145","36047043400","other",1,"no"
"2146","36047043400","parking",1,"no"
"2147","36047043500","collection",4,"no"
"2148","36047043500","household",1,"no"
"2149","36047043500","noise",1,"no"
"2150","36047043500","other",7,"no"
"2151","36047043600","collection",1,"no"
"2152","36047043600","household",3,"no"
"2153","36047043600","parking",2,"no"
"2154","36047043700","noise",10,"no"
"2155","36047043700","other",7,"no"
"2156","36047043800","noise",2,"no"
"2157","36047043800","other",2,"no"
"2158","36047043900","household",1,"no"
"2159","36047043900","noise",4,"no"
"2160","36047043900","other",3,"no"
"2161","36047043900","parking",1,"no"
"2162","36047044000","collection",2,"no"
"2163","36047044000","other",3,"no"
"2164","36047044000","parking",2,"no"
"2165","36047044100","noise",9,"no"
"2166","36047044100","other",3,"no"
"2167","36047044100","parking",2,"no"
"2168","36047044200","noise",2,"no"
"2169","36047044200","parking",1,"no"
"2170","36047044300","noise",2,"no"
"2171","36047044300","other",4,"no"
"2172","36047044300","parking",4,"no"
"2173","36047044400","other",2,"no"
"2174","36047044400","parking",1,"no"
"2175","36047044500","collection",2,"no"
"2176","36047044500","noise",4,"no"
"2177","36047044500","other",7,"no"
"2178","36047044500","parking",4,"no"
"2179","36047044600","collection",2,"no"
"2180","36047044600","other",4,"no"
"2181","36047044600","parking",1,"no"
"2182","36047044700","household",4,"no"
"2183","36047044700","noise",1,"no"
"2184","36047044700","other",2,"no"
"2185","36047044700","parking",3,"no"
"2186","36047044800","collection",2,"no"
"2187","36047044800","noise",1,"no"
"2188","36047044800","parking",3,"no"
"2189","36047044900","noise",2,"no"
"2190","36047044900","other",6,"no"
"2191","36047044900","parking",4,"no"
"2192","36047045000","collection",1,"no"
"2193","36047045200","household",1,"no"
"2194","36047045200","other",5,"no"
"2195","36047045200","parking",2,"no"
"2196","36047045300","household",3,"no"
"2197","36047045300","noise",15,"no"
"2198","36047045300","other",6,"no"
"2199","36047045300","parking",5,"no"
"2200","36047045400","noise",1,"no"
"2201","36047045400","other",1,"no"
"2202","36047045400","parking",2,"no"
"2203","36047045600","collection",1,"no"
"2204","36047045600","other",1,"no"
"2205","36047045800","collection",2,"no"
"2206","36047045800","other",1,"no"
"2207","36047046000","collection",1,"no"
"2208","36047046000","household",1,"no"
"2209","36047046000","other",1,"no"
"2210","36047046000","parking",2,"no"
"2211","36047046201","other",4,"no"
"2212","36047046201","parking",4,"no"
"2213","36047046202","collection",1,"no"
"2214","36047046202","other",3,"no"
"2215","36047046202","parking",4,"no"
"2216","36047046400","collection",1,"no"
"2217","36047046400","other",2,"no"
"2218","36047046800","other",4,"no"
"2219","36047046800","parking",5,"no"
"2220","36047047000","collection",1,"no"
"2221","36047047000","noise",3,"no"
"2222","36047047000","other",2,"no"
"2223","36047047200","collection",1,"no"
"2224","36047047200","other",1,"no"
"2225","36047047200","parking",1,"no"
"2226","36047047400","collection",2,"no"
"2227","36047047400","other",1,"no"
"2228","36047047600","collection",4,"no"
"2229","36047047600","other",7,"no"
"2230","36047047700","collection",1,"no"
"2231","36047047700","noise",8,"no"
"2232","36047047700","other",4,"no"
"2233","36047047700","parking",5,"no"
"2234","36047047800","collection",1,"no"
"2235","36047047800","household",10,"no"
"2236","36047047800","noise",1,"no"
"2237","36047047800","other",8,"no"
"2238","36047047800","parking",5,"no"
"2239","36047048000","collection",1,"no"
"2240","36047048000","household",1,"no"
"2241","36047048000","noise",2,"no"
"2242","36047048000","other",7,"no"
"2243","36047048000","parking",2,"no"
"2244","36047048100","collection",1,"no"
"2245","36047048100","noise",6,"no"
"2246","36047048100","other",5,"no"
"2247","36047048100","parking",1,"no"
"2248","36047048200","other",4,"no"
"2249","36047048200","parking",11,"no"
"2250","36047048400","household",8,"no"
"2251","36047048400","noise",3,"no"
"2252","36047048400","other",6,"no"
"2253","36047048400","parking",5,"no"
"2254","36047048500","noise",6,"no"
"2255","36047048500","other",7,"no"
"2256","36047048500","parking",5,"no"
"2257","36047048600","noise",4,"no"
"2258","36047048600","other",9,"no"
"2259","36047048800","noise",5,"no"
"2260","36047048800","other",1,"no"
"2261","36047048800","parking",3,"no"
"2262","36047048900","noise",7,"no"
"2263","36047049000","household",7,"no"
"2264","36047049000","other",7,"no"
"2265","36047049000","parking",2,"no"
"2266","36047049100","collection",1,"no"
"2267","36047049100","noise",4,"no"
"2268","36047049100","other",9,"no"
"2269","36047049200","household",6,"no"
"2270","36047049200","other",3,"no"
"2271","36047049200","parking",4,"no"
"2272","36047049300","household",10,"no"
"2273","36047049300","noise",8,"no"
"2274","36047049300","other",10,"no"
"2275","36047049400","collection",1,"no"
"2276","36047049400","household",3,"no"
"2277","36047049400","noise",5,"no"
"2278","36047049400","other",2,"no"
"2279","36047049400","parking",1,"no"
"2280","36047049500","collection",2,"no"
"2281","36047049500","household",5,"no"
"2282","36047049500","noise",9,"no"
"2283","36047049500","other",7,"no"
"2284","36047049600","other",7,"no"
"2285","36047049600","parking",4,"no"
"2286","36047049700","collection",2,"no"
"2287","36047049700","noise",1,"no"
"2288","36047049700","other",5,"no"
"2289","36047049700","parking",4,"no"
"2290","36047049800","collection",1,"no"
"2291","36047049800","household",7,"no"
"2292","36047049800","noise",1,"no"
"2293","36047049800","other",9,"no"
"2294","36047049800","parking",6,"no"
"2295","36047049900","collection",1,"no"
"2296","36047049900","other",4,"no"
"2297","36047049900","parking",2,"no"
"2298","36047050000","collection",2,"no"
"2299","36047050000","noise",3,"no"
"2300","36047050000","other",6,"no"
"2301","36047050000","parking",3,"no"
"2302","36047050100","collection",2,"no"
"2303","36047050100","noise",6,"no"
"2304","36047050100","other",3,"no"
"2305","36047050100","parking",1,"no"
"2306","36047050202","collection",1,"no"
"2307","36047050202","noise",1,"no"
"2308","36047050202","other",1,"no"
"2309","36047050202","parking",1,"no"
"2310","36047050300","collection",1,"no"
"2311","36047050300","noise",4,"no"
"2312","36047050300","other",7,"no"
"2313","36047050400","collection",3,"no"
"2314","36047050400","noise",1,"no"
"2315","36047050400","other",2,"no"
"2316","36047050400","parking",1,"no"
"2317","36047050500","noise",1,"no"
"2318","36047050500","other",1,"no"
"2319","36047050600","household",1,"no"
"2320","36047050600","noise",3,"no"
"2321","36047050600","other",7,"no"
"2322","36047050600","parking",1,"no"
"2323","36047050700","other",2,"no"
"2324","36047050801","household",3,"no"
"2325","36047050801","noise",3,"no"
"2326","36047050801","other",2,"no"
"2327","36047050803","household",3,"no"
"2328","36047050803","noise",5,"no"
"2329","36047050803","other",2,"no"
"2330","36047050803","parking",1,"no"
"2331","36047050804","household",9,"no"
"2332","36047050804","noise",9,"no"
"2333","36047050804","other",5,"no"
"2334","36047050804","parking",3,"no"
"2335","36047050900","collection",1,"no"
"2336","36047050900","noise",1,"no"
"2337","36047050900","other",1,"no"
"2338","36047050900","parking",1,"no"
"2339","36047051001","household",4,"no"
"2340","36047051001","noise",5,"no"
"2341","36047051001","other",9,"no"
"2342","36047051001","parking",2,"no"
"2343","36047051002","collection",2,"no"
"2344","36047051002","household",1,"no"
"2345","36047051002","noise",5,"no"
"2346","36047051002","other",5,"no"
"2347","36047051100","collection",2,"no"
"2348","36047051100","noise",2,"no"
"2349","36047051100","other",3,"no"
"2350","36047051200","household",4,"no"
"2351","36047051200","noise",2,"no"
"2352","36047051200","other",3,"no"
"2353","36047051200","parking",3,"no"
"2354","36047051300","collection",4,"no"
"2355","36047051300","noise",8,"no"
"2356","36047051300","other",15,"no"
"2357","36047051300","parking",1,"no"
"2358","36047051400","household",15,"no"
"2359","36047051400","noise",6,"no"
"2360","36047051400","other",8,"no"
"2361","36047051400","parking",2,"no"
"2362","36047051500","collection",1,"no"
"2363","36047051500","household",6,"no"
"2364","36047051500","noise",4,"no"
"2365","36047051500","other",5,"no"
"2366","36047051500","parking",2,"no"
"2367","36047051601","household",11,"no"
"2368","36047051601","noise",3,"no"
"2369","36047051601","other",4,"no"
"2370","36047051601","parking",5,"no"
"2371","36047051602","household",2,"no"
"2372","36047051602","noise",6,"no"
"2373","36047051602","other",10,"no"
"2374","36047051700","collection",1,"no"
"2375","36047051700","noise",4,"no"
"2376","36047051700","other",3,"no"
"2377","36047051800","household",5,"no"
"2378","36047051800","noise",2,"no"
"2379","36047051800","other",4,"no"
"2380","36047051900","collection",2,"no"
"2381","36047051900","noise",12,"no"
"2382","36047051900","other",9,"no"
"2383","36047051900","parking",5,"no"
"2384","36047052000","household",5,"no"
"2385","36047052000","noise",1,"no"
"2386","36047052000","other",2,"no"
"2387","36047052000","parking",2,"no"
"2388","36047052300","collection",3,"no"
"2389","36047052300","household",5,"no"
"2390","36047052300","noise",1,"no"
"2391","36047052300","other",7,"no"
"2392","36047052300","parking",1,"no"
"2393","36047052500","other",7,"no"
"2394","36047052500","parking",1,"no"
"2395","36047052600","noise",5,"no"
"2396","36047052600","other",1,"no"
"2397","36047052700","household",1,"no"
"2398","36047052700","noise",23,"no"
"2399","36047052700","other",20,"no"
"2400","36047052700","parking",1,"no"
"2401","36047052800","other",1,"no"
"2402","36047052800","parking",1,"no"
"2403","36047052900","collection",3,"no"
"2404","36047052900","noise",2,"no"
"2405","36047052900","other",3,"no"
"2406","36047053000","noise",1,"no"
"2407","36047053000","other",2,"no"
"2408","36047053000","parking",8,"no"
"2409","36047053100","collection",2,"no"
"2410","36047053100","other",3,"no"
"2411","36047053200","other",5,"no"
"2412","36047053200","parking",1,"no"
"2413","36047053300","collection",2,"no"
"2414","36047053300","other",1,"no"
"2415","36047053400","collection",2,"no"
"2416","36047053400","household",3,"no"
"2417","36047053400","other",4,"no"
"2418","36047053400","parking",1,"no"
"2419","36047053500","noise",1,"no"
"2420","36047053500","other",2,"no"
"2421","36047053700","collection",1,"no"
"2422","36047053700","other",3,"no"
"2423","36047053800","household",2,"no"
"2424","36047053800","noise",2,"no"
"2425","36047053800","other",5,"no"
"2426","36047053800","parking",3,"no"
"2427","36047054200","collection",2,"no"
"2428","36047054200","noise",4,"no"
"2429","36047054200","other",1,"no"
"2430","36047054200","parking",1,"no"
