"","Total Population","NAME","state","county","Census.Tract","n","avg_calls","id","alt_boro","alt_ct"
"52",5541,"Census Tract 85, Bronx County, New York","36","05","008500",5,0.000902364194188775,"36005008500","2","2008500"
"53",3835,"Census Tract 86, Bronx County, New York","36","05","008600",1,0.000260756192959583,"36005008600","2","2008600"
"54",6294,"Census Tract 87, Bronx County, New York","36","05","008700",26,0.00413091833492215,"36005008700","2","2008700"
"55",3057,"Census Tract 89, Bronx County, New York","36","05","008900",18,0.00588812561334642,"36005008900","2","2008900"
"56",3747,"Census Tract 90, Bronx County, New York","36","05","009000",5,0.00133440085401655,"36005009000","2","2009000"
"57",5419,"Census Tract 92, Bronx County, New York","36","05","009200",10,0.00184535892231039,"36005009200","2","2009200"
"58",6667,"Census Tract 93, Bronx County, New York","36","05","009300",8,0.00119994000299985,"36005009300","2","2009300"
"59",2302,"Census Tract 96, Bronx County, New York","36","05","009600",29,0.0125977410947003,"36005009600","2","2009600"
"60",5145,"Census Tract 98, Bronx County, New York","36","05","009800",13,0.00252672497570457,"36005009800","2","2009800"
"61",113,"Census Tract 110, Bronx County, New York","36","05","011000",10,0.0884955752212389,"36005011000","2","2011000"
"62",4663,"Census Tract 115.02, Bronx County, New York","36","05","011502",5,0.00107227107012653,"36005011502","2","2011502"
"63",1336,"Census Tract 117, Bronx County, New York","36","05","011700",20,0.0149700598802395,"36005011700","2","2011700"
"64",4690,"Census Tract 118, Bronx County, New York","36","05","011800",19,0.00405117270788913,"36005011800","2","2011800"
"65",5310,"Census Tract 119, Bronx County, New York","36","05","011900",14,0.00263653483992467,"36005011900","2","2011900"
"66",2775,"Census Tract 121.01, Bronx County, New York","36","05","012101",21,0.00756756756756757,"36005012101","2","2012101"
"67",1410,"Census Tract 121.02, Bronx County, New York","36","05","012102",2,0.00141843971631206,"36005012102","2","2012102"
"68",3024,"Census Tract 123, Bronx County, New York","36","05","012300",2,0.000661375661375661,"36005012300","2","2012300"
"69",3180,"Census Tract 125, Bronx County, New York","36","05","012500",6,0.00188679245283019,"36005012500","2","2012500"
"70",2376,"Census Tract 127.01, Bronx County, New York","36","05","012701",2,0.000841750841750842,"36005012701","2","2012701"
"71",2952,"Census Tract 129.01, Bronx County, New York","36","05","012901",3,0.00101626016260163,"36005012901","2","2012901"
"72",1134,"Census Tract 130, Bronx County, New York","36","05","013000",11,0.00970017636684303,"36005013000","2","2013000"
"73",4769,"Census Tract 131, Bronx County, New York","36","05","013100",8,0.00167750052421891,"36005013100","2","2013100"
"74",6135,"Census Tract 132, Bronx County, New York","36","05","013200",14,0.00228198859005705,"36005013200","2","2013200"
"75",6370,"Census Tract 133, Bronx County, New York","36","05","013300",10,0.00156985871271586,"36005013300","2","2013300"
"76",3256,"Census Tract 135, Bronx County, New York","36","05","013500",36,0.0110565110565111,"36005013500","2","2013500"
"77",3182,"Census Tract 138, Bronx County, New York","36","05","013800",24,0.00754242614707731,"36005013800","2","2013800"
"78",2247,"Census Tract 141, Bronx County, New York","36","05","014100",14,0.00623052959501558,"36005014100","2","2014100"
"79",565,"Census Tract 143, Bronx County, New York","36","05","014300",10,0.0176991150442478,"36005014300","2","2014300"
"80",5184,"Census Tract 144, Bronx County, New York","36","05","014400",6,0.00115740740740741,"36005014400","2","2014400"
"81",5728,"Census Tract 145, Bronx County, New York","36","05","014500",12,0.00209497206703911,"36005014500","2","2014500"
"82",5544,"Census Tract 147.01, Bronx County, New York","36","05","014701",2,0.000360750360750361,"36005014701","2","2014701"
"83",5087,"Census Tract 147.02, Bronx County, New York","36","05","014702",6,0.00117947709848634,"36005014702","2","2014702"
"84",3768,"Census Tract 149, Bronx County, New York","36","05","014900",22,0.00583864118895966,"36005014900","2","2014900"
"85",5309,"Census Tract 151, Bronx County, New York","36","05","015100",14,0.00263703145601808,"36005015100","2","2015100"
"86",2136,"Census Tract 152, Bronx County, New York","36","05","015200",14,0.00655430711610487,"36005015200","2","2015200"
"87",3779,"Census Tract 153, Bronx County, New York","36","05","015300",28,0.00740936755755491,"36005015300","2","2015300"
"88",3494,"Census Tract 155, Bronx County, New York","36","05","015500",17,0.0048654836863194,"36005015500","2","2015500"
"89",3102,"Census Tract 157, Bronx County, New York","36","05","015700",26,0.00838168923275306,"36005015700","2","2015700"
"90",1261,"Census Tract 158, Bronx County, New York","36","05","015800",3,0.00237906423473434,"36005015800","2","2015800"
