"","complaint.category","Total Population","Census Measure","decile"
"14387","other",2247,"educ_decile",3
"14388","household",3668,"educ_decile",8
"14389","household",4277,"educ_decile",2
"14390","parking",3063,"educ_decile",5
"14391","other",4655,"educ_decile",7
"14392","other",4492,"educ_decile",5
"14393","collection",3759,"educ_decile",10
"14394","other",7269,"educ_decile",3
"14395","household",3478,"educ_decile",10
"14396","other",3333,"educ_decile",2
"14397","other",3696,"educ_decile",5
"14398","collection",3260,"educ_decile",6
"14399","collection",2236,"educ_decile",8
"14400","other",13002,"educ_decile",10
"14401","household",5211,"educ_decile",5
"14402","parking",565,"educ_decile",1
"14403","other",1073,"educ_decile",7
"14404","parking",2922,"educ_decile",3
"14405","other",3749,"educ_decile",3
"14406","parking",1431,"educ_decile",9
"14407","other",4528,"educ_decile",10
"14408","other",4277,"educ_decile",5
"14409","other",3828,"educ_decile",4
"14410","noise",7279,"educ_decile",10
"14411","other",7688,"educ_decile",6
"14412","other",5184,"educ_decile",1
"14413","other",7266,"educ_decile",3
"14414","household",3434,"educ_decile",5
"14415","other",5081,"educ_decile",8
"14416","collection",4835,"educ_decile",3
"14417","other",3500,"educ_decile",8
"14418","household",3478,"educ_decile",10
"14419","household",3434,"educ_decile",5
"14420","household",1620,"educ_decile",7
"14421","other",1576,"educ_decile",5
"14422","other",8051,"educ_decile",1
"14423","other",1660,"educ_decile",6
"14424","parking",3204,"educ_decile",3
"14425","collection",2711,"educ_decile",6
"14426","noise",3125,"educ_decile",4
"14427","other",5574,"educ_decile",10
"14428","other",7291,"educ_decile",3
"14429","other",3013,"educ_decile",1
"14430","other",1922,"educ_decile",1
"14431","other",4128,"educ_decile",7
"14432","other",5076,"educ_decile",1
"14433","other",1922,"educ_decile",1
"14434","collection",1891,"educ_decile",6
"14435","other",3158,"educ_decile",9
"14436","other",6995,"educ_decile",2
"14437","household",3017,"educ_decile",8
"14438","household",2342,"educ_decile",2
"14439","other",1229,"educ_decile",4
"14440","noise",9169,"educ_decile",10
"14441","other",15698,"educ_decile",3
"14442","other",2329,"educ_decile",10
"14443","other",2641,"educ_decile",7
"14444","other",2342,"educ_decile",2
"14445","parking",2649,"educ_decile",9
"14446","other",1694,"educ_decile",1
"14447","other",3130,"educ_decile",6
"14448","parking",6534,"educ_decile",9
"14449","other",5675,"educ_decile",6
"14450","other",3304,"educ_decile",4
"14451","other",3789,"educ_decile",7
"14452","other",4031,"educ_decile",6
"14453","other",8305,"educ_decile",6
"14454","other",6683,"educ_decile",9
"14455","other",5444,"educ_decile",5
"14456","other",3204,"educ_decile",3
"14457","other",3520,"educ_decile",8
"14458","other",2249,"educ_decile",4
"14459","collection",2045,"educ_decile",4
"14460","other",2933,"educ_decile",4
"14461","noise",4346,"educ_decile",9
"14462","other",3170,"educ_decile",6
"14463","other",3154,"educ_decile",5
"14464","other",5076,"educ_decile",1
"14465","other",4256,"educ_decile",10
"14466","other",2504,"educ_decile",7
"14467","other",4165,"educ_decile",2
"14468","noise",7535,"educ_decile",1
"14469","other",3209,"educ_decile",8
"14470","collection",2483,"educ_decile",9
"14471","collection",4616,"educ_decile",4
"14472","collection",4622,"educ_decile",3
"14473","collection",3184,"educ_decile",10
"14474","collection",5241,"educ_decile",5
"14475","collection",3897,"educ_decile",4
"14476","collection",3491,"educ_decile",4
"14477","parking",3141,"educ_decile",9
"14478","other",4521,"educ_decile",1
"14479","collection",3260,"educ_decile",6
"14480","other",5462,"educ_decile",2
"14481","other",6222,"educ_decile",1
"14482","other",3420,"educ_decile",4
"14483","collection",4537,"educ_decile",4
"14484","collection",3262,"educ_decile",5
"14485","collection",3260,"educ_decile",6
"14486","collection",3974,"educ_decile",3
"14487","collection",5095,"educ_decile",9
"14488","household",3668,"educ_decile",8
"14489","collection",1774,"educ_decile",7
"14490","household",4326,"educ_decile",7
"14491","household",10087,"educ_decile",10
"14492","household",8575,"educ_decile",4
"14493","household",2342,"educ_decile",2
"14494","household",4682,"educ_decile",1
"14495","parking",6013,"educ_decile",7
"14496","household",3246,"educ_decile",3
"14497","other",3668,"educ_decile",8
"14498","household",3478,"educ_decile",10
"14499","other",5369,"educ_decile",8
"14500","household",3285,"educ_decile",6
"14501","household",3434,"educ_decile",5
"14502","household",2247,"educ_decile",3
"14503","parking",7291,"educ_decile",3
"14504","other",3751,"educ_decile",10
"14505","other",2522,"educ_decile",4
"14506","parking",4764,"educ_decile",1
"14507","household",4090,"educ_decile",9
"14508","household",5211,"educ_decile",5
"14509","other",3974,"educ_decile",3
"14510","household",5537,"educ_decile",4
"14511","household",4932,"educ_decile",1
"14512","household",5537,"educ_decile",4
"14513","other",7904,"educ_decile",1
"14514","household",11107,"educ_decile",5
"14515","noise",9641,"educ_decile",9
"14516","parking",4338,"educ_decile",5
"14517","other",2103,"educ_decile",4
"14518","other",9686,"educ_decile",9
"14519","other",7291,"educ_decile",3
"14520","household",2342,"educ_decile",2
"14521","parking",2922,"educ_decile",3
"14522","noise",1800,"educ_decile",9
"14523","household",2916,"educ_decile",2
"14524","household",2916,"educ_decile",2
"14525","other",3869,"educ_decile",1
"14526","other",9245,"educ_decile",9
"14527","other",4346,"educ_decile",9
"14528","household",3238,"educ_decile",9
"14529","other",3697,"educ_decile",6
"14530","collection",3260,"educ_decile",6
"14531","collection",3260,"educ_decile",6
"14532","other",5246,"educ_decile",9
"14533","other",4859,"educ_decile",1
"14534","other",4690,"educ_decile",5
"14535","other",5854,"educ_decile",1
"14536","other",3387,"educ_decile",4
"14537","other",3434,"educ_decile",5
"14538","other",3026,"educ_decile",6
"14539","household",3434,"educ_decile",5
"14540","noise",5156,"educ_decile",8
"14541","other",3304,"educ_decile",4
"14542","household",3384,"educ_decile",2
"14543","other",5069,"educ_decile",4
"14544","household",7815,"educ_decile",2
"14545","household",2916,"educ_decile",2
"14546","other",7398,"educ_decile",6
"14547","collection",2686,"educ_decile",9
"14548","other",6683,"educ_decile",9
"14549","other",4051,"educ_decile",2
"14550","parking",2883,"educ_decile",9
"14551","parking",2399,"educ_decile",9
"14552","household",4031,"educ_decile",6
"14553","other",2142,"educ_decile",3
"14554","other",3013,"educ_decile",1
"14555","other",1638,"educ_decile",9
"14556","other",8316,"educ_decile",4
"14557","other",7032,"educ_decile",4
"14558","other",4209,"educ_decile",7
"14559","other",2047,"educ_decile",6
"14560","other",3323,"educ_decile",4
"14561","other",2832,"educ_decile",6
"14562","noise",4204,"educ_decile",7
"14563","noise",5618,"educ_decile",1
"14564","other",3533,"educ_decile",3
"14565","parking",2440,"educ_decile",1
"14566","other",9469,"educ_decile",2
"14567","other",5076,"educ_decile",1
"14568","other",2504,"educ_decile",7
"14569","household",5244,"educ_decile",2
"14570","other",2258,"educ_decile",1
"14571","other",2704,"educ_decile",10
"14572","other",3337,"educ_decile",5
"14573","other",4541,"educ_decile",10
"14574","other",2559,"educ_decile",6
"14575","household",3388,"educ_decile",5
"14576","parking",5028,"educ_decile",1
"14577","parking",3026,"educ_decile",6
"14578","household",2342,"educ_decile",2
"14579","household",7018,"educ_decile",6
"14580","other",3273,"educ_decile",2
"14581","other",81,"educ_decile",10
"14582","other",4343,"educ_decile",8
"14583","other",3435,"educ_decile",4
"14584","other",2938,"educ_decile",4
"14585","collection",3935,"educ_decile",8
"14586","other",3241,"educ_decile",2
"14587","other",3434,"educ_decile",5
"14588","other",2483,"educ_decile",9
"14589","collection",2045,"educ_decile",4
"14590","other",4027,"educ_decile",4
"14591","other",6534,"educ_decile",6
"14592","other",2406,"educ_decile",7
"14593","collection",3629,"educ_decile",7
"14594","collection",4334,"educ_decile",5
"14595","household",7904,"educ_decile",1
"14596","parking",4893,"educ_decile",7
"14597","household",4269,"educ_decile",2
"14598","household",9469,"educ_decile",2
"14599","collection",8222,"educ_decile",5
"14600","noise",2129,"educ_decile",1
"14601","other",4226,"educ_decile",8
"14602","household",6204,"educ_decile",6
"14603","household",4277,"educ_decile",2
"14604","other",2291,"educ_decile",2
"14605","noise",9629,"educ_decile",10
"14606","other",2687,"educ_decile",8
"14607","parking",4836,"educ_decile",3
"14608","other",1765,"educ_decile",6
"14609","household",5076,"educ_decile",1
"14610","household",4521,"educ_decile",1
"14611","household",7904,"educ_decile",1
"14612","parking",2883,"educ_decile",9
"14613","other",4091,"educ_decile",1
"14614","collection",4334,"educ_decile",5
"14615","other",4277,"educ_decile",2
"14616","other",2938,"educ_decile",6
"14617","collection",4822,"educ_decile",6
"14618","parking",1073,"educ_decile",7
"14619","noise",5462,"educ_decile",2
"14620","household",3246,"educ_decile",3
"14621","parking",4725,"educ_decile",7
"14622","parking",7053,"educ_decile",7
"14623","other",2941,"educ_decile",5
"14624","other",4090,"educ_decile",9
"14625","other",3387,"educ_decile",4
"14626","household",3246,"educ_decile",3
"14627","other",4700,"educ_decile",1
"14628","other",6309,"educ_decile",10
"14629","collection",5370,"educ_decile",9
"14630","household",8229,"educ_decile",10
"14631","household",5458,"educ_decile",7
"14632","other",5703,"educ_decile",1
"14633","other",4377,"educ_decile",8
"14634","household",5537,"educ_decile",4
"14635","other",6665,"educ_decile",2
"14636","other",8222,"educ_decile",5
"14637","other",3652,"educ_decile",1
"14638","other",4655,"educ_decile",7
"14639","parking",2639,"educ_decile",5
"14640","household",5211,"educ_decile",5
"14641","other",4204,"educ_decile",4
"14642","parking",2922,"educ_decile",3
"14643","other",4619,"educ_decile",6
"14644","household",7815,"educ_decile",2
"14645","other",4836,"educ_decile",3
"14646","collection",1282,"educ_decile",6
"14647","other",5246,"educ_decile",9
"14648","household",2916,"educ_decile",2
"14649","other",7176,"educ_decile",7
"14650","other",4277,"educ_decile",2
"14651","household",2247,"educ_decile",3
"14652","household",5369,"educ_decile",8
"14653","other",11107,"educ_decile",5
"14654","other",2948,"educ_decile",4
"14655","household",4277,"educ_decile",2
"14656","other",1138,"educ_decile",8
"14657","other",4521,"educ_decile",1
"14658","other",2582,"educ_decile",4
"14659","collection",4622,"educ_decile",3
"14660","other",3500,"educ_decile",8
"14661","collection",4135,"educ_decile",7
"14662","household",5076,"educ_decile",1
"14663","other",1674,"educ_decile",6
"14664","other",4521,"educ_decile",1
"14665","other",2246,"educ_decile",9
"14666","household",2342,"educ_decile",2
"14667","household",5474,"educ_decile",2
"14668","collection",5370,"educ_decile",9
"14669","other",4204,"educ_decile",4
"14670","other",3088,"educ_decile",1
"14671","other",1142,"educ_decile",5
"14672","household",4090,"educ_decile",9
"14673","household",2230,"educ_decile",3
"14674","household",4277,"educ_decile",2
"14675","other",2457,"educ_decile",4
"14676","household",5211,"educ_decile",5
"14677","household",5537,"educ_decile",4
"14678","other",7906,"educ_decile",5
"14679","other",2789,"educ_decile",2
"14680","other",3246,"educ_decile",3
"14681","household",9469,"educ_decile",2
"14682","household",4377,"educ_decile",8
"14683","household",7815,"educ_decile",2
"14684","other",4128,"educ_decile",7
"14685","household",3810,"educ_decile",10
"14686","collection",6094,"educ_decile",8
"14687","other",1548,"educ_decile",7
"14688","other",5241,"educ_decile",10
"14689","collection",1938,"educ_decile",8
"14690","household",7904,"educ_decile",1
"14691","other",7688,"educ_decile",6
"14692","parking",686,"educ_decile",10
"14693","other",3121,"educ_decile",3
"14694","other",8078,"educ_decile",7
"14695","other",7176,"educ_decile",7
"14696","other",7176,"educ_decile",7
"14697","parking",2832,"educ_decile",1
"14698","other",5872,"educ_decile",10
"14699","other",3017,"educ_decile",8
"14700","other",2942,"educ_decile",6
"14701","other",8924,"educ_decile",10
"14702","other",9577,"educ_decile",3
"14703","other",6094,"educ_decile",8
"14704","collection",8957,"educ_decile",9
"14705","household",6602,"educ_decile",8
"14706","other",3347,"educ_decile",10
"14707","other",3347,"educ_decile",10
"14708","collection",4230,"educ_decile",6
"14709","parking",5355,"educ_decile",7
"14710","other",3996,"educ_decile",7
"14711","other",1299,"educ_decile",2
"14712","other",7749,"educ_decile",6
"14713","other",6521,"educ_decile",5
"14714","other",3347,"educ_decile",10
"14715","other",7749,"educ_decile",6
"14716","household",4719,"educ_decile",9
"14717","other",6321,"educ_decile",10
"14718","parking",3855,"educ_decile",8
"14719","parking",3077,"educ_decile",4
"14720","household",5104,"educ_decile",2
"14721","parking",4743,"educ_decile",5
"14722","parking",5511,"educ_decile",9
"14723","other",5962,"educ_decile",3
"14724","other",6926,"educ_decile",10
"14725","other",2225,"educ_decile",8
"14726","other",2946,"educ_decile",5
"14727","other",2872,"educ_decile",8
"14728","other",7456,"educ_decile",9
"14729","other",3601,"educ_decile",3
"14730","other",5744,"educ_decile",3
"14731","other",2185,"educ_decile",9
"14732","other",5868,"educ_decile",7
"14733","parking",4139,"educ_decile",9
"14734","parking",3778,"educ_decile",2
"14735","parking",4202,"educ_decile",6
"14736","parking",6591,"educ_decile",1
"14737","household",5211,"educ_decile",5
"14738","household",6369,"educ_decile",3
"14739","other",4043,"educ_decile",8
"14740","other",3434,"educ_decile",5
"14741","other",3466,"educ_decile",10
"14742","other",6635,"educ_decile",7
"14743","other",4616,"educ_decile",4
"14744","household",15698,"educ_decile",3
"14745","other",8403,"educ_decile",9
"14746","household",4275,"educ_decile",5
"14747","noise",6648,"educ_decile",3
"14748","household",4719,"educ_decile",9
"14749","collection",3653,"educ_decile",6
"14750","collection",5543,"educ_decile",3
"14751","other",2966,"educ_decile",8
"14752","other",7059,"educ_decile",8
"14753","other",2225,"educ_decile",8
"14754","other",9906,"educ_decile",6
"14755","parking",1635,"educ_decile",9
"14756","other",1742,"educ_decile",3
"14757","other",4592,"educ_decile",2
"14758","household",15698,"educ_decile",3
"14759","other",3582,"educ_decile",9
"14760","other",4332,"educ_decile",7
"14761","other",15377,"educ_decile",10
"14762","household",3347,"educ_decile",10
"14763","household",5318,"educ_decile",6
"14764","other",6602,"educ_decile",8
"14765","other",4199,"educ_decile",3
"14766","other",9245,"educ_decile",9
"14767","other",5962,"educ_decile",3
"14768","other",2639,"educ_decile",3
"14769","other",3618,"educ_decile",6
"14770","other",2185,"educ_decile",9
"14771","other",3697,"educ_decile",2
"14772","parking",3410,"educ_decile",7
"14773","other",5868,"educ_decile",7
"14774","other",5028,"educ_decile",1
"14775","household",1548,"educ_decile",3
"14776","household",8358,"educ_decile",9
"14777","noise",5792,"educ_decile",4
"14778","parking",5694,"educ_decile",5
"14779","household",3169,"educ_decile",1
"14780","other",3169,"educ_decile",5
"14781","parking",2935,"educ_decile",2
"14782","parking",7092,"educ_decile",1
"14783","household",3918,"educ_decile",3
"14784","other",1641,"educ_decile",3
"14785","other",3295,"educ_decile",2
"14786","other",9944,"educ_decile",5
"14787","other",8688,"educ_decile",4
"14788","household",3434,"educ_decile",5
"14789","other",1548,"educ_decile",3
"14790","other",5868,"educ_decile",7
"14791","other",3010,"educ_decile",9
"14792","noise",3378,"educ_decile",8
"14793","household",3496,"educ_decile",4
"14794","other",2317,"educ_decile",2
"14795","other",4440,"educ_decile",4
"14796","household",15698,"educ_decile",3
"14797","parking",4266,"educ_decile",10
"14798","household",3401,"educ_decile",8
"14799","other",2363,"educ_decile",8
"14800","household",4764,"educ_decile",1
"14801","other",4541,"educ_decile",10
"14802","other",7217,"educ_decile",4
"14803","household",5211,"educ_decile",5
"14804","other",1913,"educ_decile",4
"14805","parking",1602,"educ_decile",6
"14806","parking",6054,"educ_decile",2
"14807","collection",1367,"educ_decile",6
"14808","other",5174,"educ_decile",4
"14809","other",3290,"educ_decile",10
"14810","household",3496,"educ_decile",4
"14811","household",5798,"educ_decile",10
"14812","household",3300,"educ_decile",8
"14813","household",3233,"educ_decile",4
"14814","household",1844,"educ_decile",2
"14815","parking",3244,"educ_decile",5
"14816","other",4199,"educ_decile",3
"14817","household",3557,"educ_decile",10
"14818","other",1742,"educ_decile",3
"14819","other",7032,"educ_decile",4
"14820","household",5312,"educ_decile",2
"14821","collection",6271,"educ_decile",6
"14822","household",7398,"educ_decile",6
"14823","other",8286,"educ_decile",6
"14824","parking",1774,"educ_decile",7
"14825","household",7906,"educ_decile",5
"14826","household",4275,"educ_decile",5
"14827","other",12421,"educ_decile",5
"14828","parking",1121,"educ_decile",9
"14829","other",8222,"educ_decile",5
"14830","other",1271,"educ_decile",7
"14831","other",3590,"educ_decile",1
"14832","other",1319,"educ_decile",6
"14833","other",6591,"educ_decile",1
"14834","household",3233,"educ_decile",4
"14835","household",3295,"educ_decile",2
"14836","collection",4062,"educ_decile",9
"14837","other",7107,"educ_decile",8
"14838","collection",2409,"educ_decile",9
"14839","other",3295,"educ_decile",2
"14840","household",4277,"educ_decile",2
"14841","household",2645,"educ_decile",8
"14842","household",15698,"educ_decile",3
"14843","other",6572,"educ_decile",9
"14844","other",4269,"educ_decile",2
"14845","other",7777,"educ_decile",6
"14846","noise",5663,"educ_decile",1
"14847","other",2304,"educ_decile",9
"14848","other",9577,"educ_decile",3
"14849","other",7709,"educ_decile",10
"14850","other",6013,"educ_decile",7
"14851","other",6280,"educ_decile",6
"14852","other",8976,"educ_decile",10
"14853","other",4971,"educ_decile",9
"14854","other",5241,"educ_decile",5
"14855","other",2746,"educ_decile",5
"14856","household",6369,"educ_decile",3
"14857","parking",2367,"educ_decile",3
"14858","other",3935,"educ_decile",5
"14859","other",4808,"educ_decile",2
"14860","collection",5512,"educ_decile",6
"14861","other",7906,"educ_decile",5
"14862","household",4277,"educ_decile",5
"14863","collection",1688,"educ_decile",7
"14864","parking",3870,"educ_decile",5
"14865","other",6521,"educ_decile",5
"14866","other",7398,"educ_decile",6
"14867","parking",3866,"educ_decile",3
"14868","household",1548,"educ_decile",3
"14869","other",3347,"educ_decile",10
"14870","other",1367,"educ_decile",6
"14871","household",3401,"educ_decile",8
"14872","collection",2488,"educ_decile",5
"14873","other",2581,"educ_decile",2
"14874","other",4227,"educ_decile",10
"14875","other",5241,"educ_decile",5
"14876","other",6737,"educ_decile",4
"14877","collection",1548,"educ_decile",7
"14878","collection",3897,"educ_decile",4
"14879","other",8786,"educ_decile",6
"14880","parking",2948,"educ_decile",4
"14881","other",4102,"educ_decile",5
"14882","other",2639,"educ_decile",3
"14883","parking",3917,"educ_decile",9
"14884","other",4541,"educ_decile",10
"14885","other",8305,"educ_decile",6
"14886","other",2935,"educ_decile",6
"14887","parking",2026,"educ_decile",8
"14888","other",3279,"educ_decile",4
"14889","other",1596,"educ_decile",10
"14890","other",3347,"educ_decile",10
"14891","other",6218,"educ_decile",7
"14892","collection",7506,"educ_decile",10
"14893","collection",3935,"educ_decile",8
"14894","collection",3107,"educ_decile",5
"14895","other",4822,"educ_decile",6
"14896","other",3702,"educ_decile",5
"14897","other",5028,"educ_decile",1
"14898","other",5925,"educ_decile",8
"14899","household",5211,"educ_decile",5
"14900","collection",3163,"educ_decile",6
"14901","household",15698,"educ_decile",3
"14902","household",5211,"educ_decile",5
"14903","parking",3943,"educ_decile",6
"14904","other",3346,"educ_decile",5
"14905","other",8222,"educ_decile",5
"14906","other",4562,"educ_decile",3
"14907","other",8113,"educ_decile",3
"14908","household",2564,"educ_decile",8
"14909","household",3647,"educ_decile",7
"14910","collection",2522,"educ_decile",4
"14911","collection",2392,"educ_decile",7
"14912","other",3779,"educ_decile",3
"14913","noise",1437,"educ_decile",9
"14914","collection",3466,"educ_decile",10
"14915","collection",2184,"educ_decile",8
"14916","collection",3442,"educ_decile",5
"14917","other",2645,"educ_decile",8
"14918","other",6521,"educ_decile",5
"14919","household",5312,"educ_decile",2
"14920","household",3905,"educ_decile",7
"14921","collection",4622,"educ_decile",3
"14922","other",2348,"educ_decile",5
"14923","other",4199,"educ_decile",3
"14924","collection",1613,"educ_decile",8
"14925","other",3442,"educ_decile",5
"14926","household",6973,"educ_decile",1
"14927","collection",9169,"educ_decile",10
"14928","collection",4873,"educ_decile",10
"14929","other",2798,"educ_decile",2
"14930","other",4764,"educ_decile",1
"14931","other",3778,"educ_decile",2
"14932","noise",1686,"educ_decile",10
"14933","household",4199,"educ_decile",3
"14934","other",5043,"educ_decile",5
"14935","household",1751,"educ_decile",7
"14936","other",15698,"educ_decile",3
"14937","other",1751,"educ_decile",7
"14938","household",2645,"educ_decile",8
"14939","household",3636,"educ_decile",3
"14940","household",2698,"educ_decile",2
"14941","other",3733,"educ_decile",5
"14942","other",4824,"educ_decile",4
"14943","parking",3013,"educ_decile",2
"14944","other",2872,"educ_decile",8
"14945","other",1623,"educ_decile",3
"14946","other",3442,"educ_decile",5
"14947","household",15698,"educ_decile",3
"14948","household",3241,"educ_decile",2
"14949","other",2582,"educ_decile",4
"14950","noise",2794,"educ_decile",5
"14951","other",3017,"educ_decile",8
"14952","household",1360,"educ_decile",6
"14953","other",3897,"educ_decile",9
"14954","household",2879,"educ_decile",8
"14955","other",5211,"educ_decile",5
"14956","other",4835,"educ_decile",3
"14957","other",2787,"educ_decile",3
"14958","other",3336,"educ_decile",5
"14959","other",2077,"educ_decile",6
"14960","other",3409,"educ_decile",3
"14961","other",2486,"educ_decile",3
"14962","other",1489,"educ_decile",5
"14963","other",3905,"educ_decile",7
"14964","other",3905,"educ_decile",7
"14965","collection",1613,"educ_decile",8
"14966","other",3137,"educ_decile",3
"14967","other",1793,"educ_decile",8
"14968","other",5312,"educ_decile",2
"14969","other",4229,"educ_decile",4
"14970","household",3905,"educ_decile",7
"14971","household",1548,"educ_decile",3
"14972","other",15698,"educ_decile",3
"14973","other",4508,"educ_decile",1
"14974","other",6309,"educ_decile",10
"14975","other",2034,"educ_decile",2
"14976","other",10218,"educ_decile",10
"14977","other",2048,"educ_decile",3
"14978","other",2512,"educ_decile",4
"14979","collection",9101,"educ_decile",10
"14980","household",7749,"educ_decile",6
"14981","household",4199,"educ_decile",3
"14982","household",4275,"educ_decile",5
"14983","collection",5744,"educ_decile",3
"14984","noise",5361,"educ_decile",1
"14985","collection",7180,"educ_decile",9
"14986","household",15698,"educ_decile",3
"14987","collection",5644,"educ_decile",3
"14988","parking",4893,"educ_decile",7
"14989","household",5726,"educ_decile",9
"14990","other",7617,"educ_decile",5
"14991","other",3905,"educ_decile",7
"14992","other",4164,"educ_decile",3
"14993","other",4277,"educ_decile",2
"14994","household",7906,"educ_decile",5
"14995","other",2355,"educ_decile",6
"14996","other",6369,"educ_decile",3
"14997","household",3347,"educ_decile",10
"14998","other",4808,"educ_decile",2
"14999","other",1520,"educ_decile",8
"15000","other",2698,"educ_decile",2
"15001","other",1542,"educ_decile",3
"15002","other",3137,"educ_decile",3
"15003","other",2639,"educ_decile",3
"15004","household",4764,"educ_decile",1
"15005","household",3300,"educ_decile",8
"15006","other",5868,"educ_decile",7
"15007","other",6521,"educ_decile",5
"15008","parking",4327,"educ_decile",7
"15009","other",7644,"educ_decile",10
"15010","other",2798,"educ_decile",2
"15011","other",2572,"educ_decile",4
"15012","household",2818,"educ_decile",8
"15013","other",5557,"educ_decile",5
"15014","other",6665,"educ_decile",2
"15015","other",3498,"educ_decile",3
"15016","household",9457,"educ_decile",9
"15017","other",7176,"educ_decile",7
"15018","collection",8721,"educ_decile",6
"15019","collection",2137,"educ_decile",1
"15020","household",7749,"educ_decile",6
"15021","other",3574,"educ_decile",8
"15022","other",4037,"educ_decile",5
"15023","other",6552,"educ_decile",4
"15024","other",4700,"educ_decile",1
"15025","noise",9629,"educ_decile",10
"15026","other",1690,"educ_decile",10
"15027","other",3722,"educ_decile",2
"15028","household",7906,"educ_decile",5
"15029","parking",3578,"educ_decile",3
"15030","noise",3324,"educ_decile",4
"15031","other",3729,"educ_decile",1
"15032","noise",5777,"educ_decile",4
"15033","other",6158,"educ_decile",1
"15034","collection",8320,"educ_decile",7
"15035","collection",3260,"educ_decile",6
"15036","household",15698,"educ_decile",3
"15037","other",3665,"educ_decile",1
"15038","collection",1941,"educ_decile",8
"15039","noise",3017,"educ_decile",8
"15040","other",1404,"educ_decile",9
"15041","household",4313,"educ_decile",1
"15042","other",3411,"educ_decile",2
"15043","collection",2820,"educ_decile",2
"15044","other",2602,"educ_decile",9
"15045","other",810,"educ_decile",10
"15046","other",3244,"educ_decile",5
"15047","other",2847,"educ_decile",9
"15048","other",3649,"educ_decile",3
"15049","other",12421,"educ_decile",5
"15050","other",7045,"educ_decile",9
"15051","other",8688,"educ_decile",4
"15052","household",9577,"educ_decile",3
"15053","household",2991,"educ_decile",3
"15054","other",5174,"educ_decile",4
"15055","other",4416,"educ_decile",6
"15056","household",7906,"educ_decile",5
"15057","other",4207,"educ_decile",6
"15058","other",3295,"educ_decile",2
"15059","parking",1873,"educ_decile",9
"15060","other",4884,"educ_decile",3
"15061","other",5818,"educ_decile",1
"15062","other",2206,"educ_decile",6
"15063","other",5211,"educ_decile",5
"15064","parking",7567,"educ_decile",4
"15065","collection",4313,"educ_decile",9
"15066","parking",3059,"educ_decile",7
"15067","other",1542,"educ_decile",3
"15068","other",3063,"educ_decile",4
"15069","parking",3759,"educ_decile",10
"15070","parking",6847,"educ_decile",2
"15071","other",4615,"educ_decile",6
"15072","household",7906,"educ_decile",5
"15073","other",5057,"educ_decile",4
"15074","household",3636,"educ_decile",3
"15075","other",3721,"educ_decile",2
"15076","other",3409,"educ_decile",10
"15077","collection",1035,"educ_decile",4
"15078","other",4199,"educ_decile",3
"15079","collection",2946,"educ_decile",5
"15080","other",3017,"educ_decile",8
"15081","other",5181,"educ_decile",4
"15082","noise",6245,"educ_decile",10
"15083","other",3927,"educ_decile",2
"15084","other",6369,"educ_decile",3
"15085","noise",2056,"educ_decile",6
"15086","other",5259,"educ_decile",5
"15087","other",6591,"educ_decile",1
"15088","other",2988,"educ_decile",5
"15089","other",7398,"educ_decile",6
"15090","other",2034,"educ_decile",2
"15091","other",5467,"educ_decile",3
"15092","other",5312,"educ_decile",2
"15093","household",3918,"educ_decile",3
"15094","household",3373,"educ_decile",7
"15095","household",5798,"educ_decile",10
"15096","other",810,"educ_decile",10
"15097","other",2134,"educ_decile",9
"15098","other",5050,"educ_decile",2
"15099","other",3557,"educ_decile",7
"15100","other",3434,"educ_decile",5
"15101","collection",3163,"educ_decile",6
"15102","household",5211,"educ_decile",5
"15103","other",2645,"educ_decile",8
"15104","other",7032,"educ_decile",4
"15105","other",5068,"educ_decile",8
"15106","collection",3810,"educ_decile",10
"15107","other",3246,"educ_decile",3
"15108","collection",7269,"educ_decile",3
"15109","collection",4720,"educ_decile",7
"15110","other",2645,"educ_decile",8
"15111","other",2966,"educ_decile",8
"15112","household",7906,"educ_decile",5
"15113","household",5104,"educ_decile",2
"15114","other",4432,"educ_decile",3
"15115","other",1542,"educ_decile",3
"15116","parking",6926,"educ_decile",10
"15117","other",3779,"educ_decile",3
"15118","collection",1346,"educ_decile",7
"15119","other",4412,"educ_decile",8
"15120","parking",2619,"educ_decile",7
"15121","other",3577,"educ_decile",3
"15122","other",6939,"educ_decile",6
"15123","other",5690,"educ_decile",6
"15124","other",4440,"educ_decile",4
"15125","other",4313,"educ_decile",1
"15126","other",1615,"educ_decile",6
"15127","other",5739,"educ_decile",9
"15128","other",1542,"educ_decile",3
"15129","other",6158,"educ_decile",1
"15130","other",2966,"educ_decile",8
"15131","other",7688,"educ_decile",6
"15132","other",3241,"educ_decile",2
"15133","collection",1606,"educ_decile",5
"15134","household",4764,"educ_decile",1
"15135","household",1548,"educ_decile",3
"15136","other",2335,"educ_decile",7
"15137","parking",4354,"educ_decile",7
"15138","other",2546,"educ_decile",8
"15139","other",2184,"educ_decile",5
"15140","household",1548,"educ_decile",3
"15141","other",3409,"educ_decile",10
"15142","other",6352,"educ_decile",4
"15143","parking",6179,"educ_decile",10
"15144","other",1606,"educ_decile",5
"15145","other",5011,"educ_decile",4
"15146","noise",6952,"educ_decile",1
"15147","other",6119,"educ_decile",3
"15148","other",1483,"educ_decile",5
"15149","other",2036,"educ_decile",5
"15150","collection",4774,"educ_decile",6
"15151","other",6926,"educ_decile",10
"15152","collection",3759,"educ_decile",10
