"","complaint.category","Total Population","Census Measure","decile"
"183","other",7639,"educ_decile",1
"184","noise",6744,"educ_decile",10
"185","noise",1521,"educ_decile",9
"186","other",4124,"educ_decile",9
"187","other",479,"educ_decile",10
"188","parking",8406,"educ_decile",5
"189","collection",2522,"educ_decile",4
"190","household",8033,"educ_decile",4
"191","other",1788,"educ_decile",6
"192","household",7018,"educ_decile",6
"193","parking",5686,"educ_decile",6
"194","household",6204,"educ_decile",6
"195","other",3244,"educ_decile",5
"196","noise",4327,"educ_decile",7
"197","other",3652,"educ_decile",2
"198","other",1641,"educ_decile",3
"199","other",4377,"educ_decile",1
"200","other",3675,"educ_decile",7
"201","collection",3184,"educ_decile",10
"202","collection",3549,"educ_decile",1
"203","noise",3204,"educ_decile",3
"204","other",8786,"educ_decile",6
"205","noise",7092,"educ_decile",1
"206","noise",7059,"educ_decile",8
"207","noise",8802,"educ_decile",1
"208","parking",3915,"educ_decile",2
"209","other",8051,"educ_decile",1
"210","noise",5085,"educ_decile",10
"211","household",4598,"educ_decile",2
"212","other",3982,"educ_decile",5
"213","noise",3972,"educ_decile",2
"214","noise",8721,"educ_decile",6
"215","other",3409,"educ_decile",10
"216","noise",2939,"educ_decile",3
"217","parking",5512,"educ_decile",6
"218","household",3384,"educ_decile",2
"219","household",3675,"educ_decile",7
"220","noise",1073,"educ_decile",7
"221","other",3346,"educ_decile",5
"222","other",4541,"educ_decile",10
"223","other",5819,"educ_decile",6
"224","other",8078,"educ_decile",7
"225","noise",3204,"educ_decile",3
"226","parking",5744,"educ_decile",3
"227","other",6159,"educ_decile",2
"228","parking",2802,"educ_decile",2
"229","parking",6196,"educ_decile",5
"230","other",7674,"educ_decile",10
"231","other",5686,"educ_decile",6
"232","noise",2652,"educ_decile",5
"233","noise",6552,"educ_decile",4
"234","parking",6196,"educ_decile",5
"235","parking",2717,"educ_decile",3
"236","parking",2775,"educ_decile",1
"237","noise",4324,"educ_decile",8
"238","other",6108,"educ_decile",7
"239","other",8599,"educ_decile",9
"240","noise",7039,"educ_decile",10
"241","parking",1918,"educ_decile",6
"242","household",1844,"educ_decile",2
"243","parking",3409,"educ_decile",7
"244","noise",2123,"educ_decile",4
"245","other",3975,"educ_decile",9
"246","noise",4605,"educ_decile",10
"247","noise",2134,"educ_decile",9
"248","parking",3139,"educ_decile",8
"249","noise",3137,"educ_decile",3
"250","other",3696,"educ_decile",5
"251","noise",3603,"educ_decile",9
"252","other",9101,"educ_decile",10
"253","parking",2422,"educ_decile",6
"254","noise",3638,"educ_decile",2
"255","noise",3304,"educ_decile",4
"256","other",3850,"educ_decile",1
"257","noise",8463,"educ_decile",9
"258","other",4067,"educ_decile",5
"259","noise",3850,"educ_decile",1
"260","other",1142,"educ_decile",5
"261","other",2493,"educ_decile",6
"262","other",1532,"educ_decile",8
"263","parking",5930,"educ_decile",1
"264","other",2709,"educ_decile",6
"265","other",3562,"educ_decile",10
"266","noise",5814,"educ_decile",6
"267","noise",3869,"educ_decile",1
"268","noise",3327,"educ_decile",7
"269","noise",10174,"educ_decile",2
"270","noise",9457,"educ_decile",9
"271","other",4973,"educ_decile",10
"272","other",2237,"educ_decile",4
"273","parking",1121,"educ_decile",9
"274","noise",1880,"educ_decile",1
"275","other",5644,"educ_decile",3
"276","other",3486,"educ_decile",3
"277","other",3028,"educ_decile",7
"278","other",6615,"educ_decile",2
"279","household",3768,"educ_decile",2
"280","noise",1521,"educ_decile",9
"281","other",2229,"educ_decile",7
"282","parking",3935,"educ_decile",8
"283","parking",5628,"educ_decile",3
"284","parking",2317,"educ_decile",2
"285","household",7398,"educ_decile",6
"286","parking",5504,"educ_decile",9
"287","other",2602,"educ_decile",9
"288","other",3133,"educ_decile",1
"289","parking",2605,"educ_decile",4
"290","parking",2485,"educ_decile",3
"291","other",4469,"educ_decile",7
"292","noise",9686,"educ_decile",9
"293","parking",2885,"educ_decile",2
"294","parking",4576,"educ_decile",9
"295","noise",3492,"educ_decile",4
"296","noise",6647,"educ_decile",10
"297","other",15377,"educ_decile",10
"298","other",4078,"educ_decile",6
"299","household",3675,"educ_decile",7
"300","other",1668,"educ_decile",8
"301","other",5461,"educ_decile",1
"302","noise",4547,"educ_decile",5
"303","noise",4199,"educ_decile",3
"304","other",4078,"educ_decile",6
"305","household",4598,"educ_decile",2
"306","household",2770,"educ_decile",5
"307","household",8670,"educ_decile",4
"308","household",2883,"educ_decile",9
"309","household",6026,"educ_decile",5
"310","other",1469,"educ_decile",5
"311","other",4135,"educ_decile",7
"312","household",9488,"educ_decile",9
"313","household",3897,"educ_decile",9
